,name,review_time,wiI7pd 2review
"VR Mall, Unit No. F - 51, First Floor Pillaiyar Koil Street, 100 Feet Rd, Chennai, Tamil Nadu 600040",Sheeba Tanuja Yenubari,4 days ago,
"23:52,22-02-2024",madhan gupta,5 days ago,Staff should be trained well having a coffe shop in the mall not so easy to maintain very difficult from owners side.
,Merwin Thomas,3 weeks ago,
,Raju Nandabalan,a month ago,
,Ben Human,a month ago,Worst coffee!!!!
,Vaish Navi,a month ago,Very arrogant staff behaviour. She was very very particular about ordering more food for spending more time in the place.Think before you plan to spend time there
,Karthik MR,a month ago,Arrogant and rude behaviour of the staffs made it an unpleasant experience for my family. I will never visit this place again.
,Shweta Dhillon,a month ago,
,Reegan Ronald,a month ago,
,Thilagavathy Vijayan,a month ago,
,Vi Nesh,a month ago,
,Thiagu Ganesan,2 months ago,
,sandeep samsan,2 months ago,
,Karthik Raja,2 months ago,Not great at all ...
,Akhil Anish,2 months ago,
,sanjeev verma,3 months ago,
,Ashwin Ayyappan,3 months ago,
,raja v,3 months ago,
,ECE - 518 Suhail khan,4 months ago,Love it
,ramprasath g,4 months ago,Awesome
,M BOOPATHIRAJA,4 months ago,
,ameed mohammed,4 months ago,
,Niranjan R,5 months ago,Excellent place to have a cafe.
,Adhvaith A .S,5 months ago,"We order Choclate Carmel and it came after 7 mins and as per the picture,  there should be sprinkles on the cream but for us,  they didn't put it. We asked them to put it and they came back with lots of sprinkles.  But the drink was good."
,Kumaran Ekambaram,5 months ago,
,Joshi Thomas,5 months ago,
,Nanjappa Bopanna,5 months ago,
,Nishaat,6 months ago,I would recommend this CCD at the mall. One should try out the frappe.
,P V Reddy,6 months ago,Needs to improve their menu....CCD was at its best during 2010-14. But now there aren't many options to choose in food that too at sub par level
,THANESH RAJA L,6 months ago,
,ThamizhElango Natarajan,6 months ago,
,Kishore Kumar,6 months ago,"Very expensive coffe
Iam order capichino
Stof serve only coffe"
,Ishwarya Santhakumar,6 months ago,
,G Srividya,6 months ago,
,ARUN M,6 months ago,
,Kiran Chaurasia,6 months ago,
,Prajna Paromita Goldar,6 months ago,
,Kishore S,6 months ago,Good one but little expensive. Maybe because its a mall outlet.
,Aiswariya nagu,6 months ago,
,Viju C R,6 months ago,
,Samuel S,7 months ago,
,ravi prasanth Ravi,7 months ago,Good
,Jagadish Sharma,7 months ago,Nice
,viswanathan devarajalu,7 months ago,
,P K,7 months ago,
,Selvarathi Kandhaswamy,7 months ago,
,Kani Varsha,7 months ago,
,ashlin,7 months ago,
,Aravinthakrishnan,7 months ago,
,Jeevitha Selvaraj,7 months ago,
,Sudhakar Godwin,7 months ago,"Great coffee taste, worth of spending money, good service & atmosphere."
,Mohammed Faizal Asath,7 months ago,Taste was not justified the price
,v mamatha,7 months ago,
,Mary Nita,7 months ago,
,Jeswanth Rao,7 months ago,I took cold coffee. But the taste was average 😅 …
,Vaishnav Davey,7 months ago,They have Some sanity in coffee pricing! Can see this brand revive. Glad.
,daniel jhon,7 months ago,
